ID,Name,Concentration (mM),Additional Notes
2pg_c,"D-Glycerate 2-phosphate/ 2-
Phosphoglycerate",0.110560855,Data Source: HEPATOKIN
3hhcoa_m,,0,
3hoctACP_c,,0,
3pg_c,"3-Phospho-D-glycerate/ 3-
Phosphoglycerate",0.520630485,
aacoa_m,Acetoacetyl-CoA,0.00060838,
ac_c,Acetate,1.05746036,
ac_m,Acetate,1.05746036,
acac_m,Acetoacetate,0.83300877,
accoa_c,Acetyl-CoA,0.696661915,
accoa_m,Acetyl-CoA,1.373201,
adp_c,ADP C10H12N5O10P2,1.99495195,
adp_m,ADP C10H12N5O10P2,8.0389058,
akg_c,2-Oxoglutarate/ Alpha-Ketoglutarate ,0.638181795,
akg_m,2-Oxoglutarate/ Alpha-Ketoglutarate ,1.605,
ala__L_c,L-Alanine,0.29,
amp_c,AMP C10H12N5O7P,0.365,
amp_m,AMP C10H12N5O7P,,
arg__L_c,L-Arginine,0.056157895,
argsuc_c,N(omega)-(L-Arginino)succinate,0.13,
asn__L_c,L-Asparagine,,
asp__L_c,L-Aspartate,8.545,
asp__L_m,L-Aspartate,3.7829256,
atp_c,ATP C10H12N5O13P3,4.72714598,
atp_m,ATP C10H12N5O13P3,9.19,
b2coa_m,,,
bhb_c,(R)-3-Hydroxybutanoate,2.21823684,
bhb_m,(R)-3-Hydroxybutanoate,2.21823684,
cbp_m,Carbamoyl phosphate,0.031120835,
cit_c,Citrate,1.06817745,
cit_m,Citrate ,6.0226752,
citr__L_c,L-Citrulline,0.150924345,
citr__L_m,L-Citrulline,0.150924345,
coa_c,Coenzyme A,0.054913815,
coa_m,Coenzyme A ,1.543201,
crn_c,,0.40597478,
crn_m,,0.40597478,
dhap_c,Dihydroxyacetone phosphate,0.17689737,
e4p_c,D-Erythrose 4-phosphate,0.007019735,
etoh_c,Ethanol,,
f1p_c,D-Fructose 1-phosphate,3.486469295,
f6p_c,D-Fructose-6-phosphate,0.12713765,
fdp_c,"D-Fructose 1,6-bisphosphate",0.051470825,
fum_c,Fumarate,0.529907555,
fum_m,Fumarate,8.4280308,
g1p_c,D-Glucose 1-phosphate,0.134490625,
g1p_c,D-Glucose 1-phosphate,0.134490625,
g6p_c,D-Glucose 6-phosphate,0.14,
g6p_r,D-Glucose 6-phosphate,0.386553505,
glc__D_c,D-Glucose,10.48280703,
glc__D_r,D-Glucose,10.48280703,
gln__L_c,L-Glutamine,7.72620615,
glu__L_c,L-Glutamate,7.055,
glu__L_m,L-Glutamate,13.795,
v,Glycerol,0.175394735,
glyc3p_c,Glycerol 3-phosphate,0.91531863,
hmgcoa_m,Hydroxymethylglutaryl CoA C27H39N7O20P3S,0.010061625,
icit_m,Isocitrate ,0.042,
lac__L_c,L-Lactate,3.26183772,
mal__L_c,L-Malate,1.522,
mal__L_m,L-Malate,2.703530905,
malACP_c,,,
malcoa_c,,0.000032,
nad_c,Nicotinamide adenine dinucleotide,1.82530972,
nad_m,Nicotinamide Adenine Dinucelotide ,0.00833773,
nadh_c,Nicotinamide adenine dinucleotide - reduced,0.00463542,
nadh_m,Nicotinamide Adenine Dinucelotide - Reduced,0.288577105,
nadp_c,Nicotinamide adenine dinucleotide phosphate,0.475236185,
nadp_m,Nicotinamide adenine dinucleotide phosphate,0.890993305,
nh4_c,Ammonium,1.313860745,
nh4_m,Ammonium,0.0245,
o2_c,O2 O2,,
o2_m,O2 O2,,
oaa_c,Oxaloacetate,0.00144886,
oaa_m,Oxaloacetate ,0.03119,
orn_c,Ornithine,3.628174385,
orn_m,Ornithine,3.628174385,
pep_c,Phosphoenolpyruvate,0.31,
pep_m,Phosphoenolpyruvate,2.05,
pi_c,Phosphate,6.4,
pi_m,Phosphate,0.45,
pi_r,Phosphate,9.7441228,
pyr_c,Pyruvate,0.48,
pyr_m,Pyruvate,1.34,
r5p_c,Alpha-D-Ribose 5-phosphate,0.00772171,
ru5p__D_c,D-Ribulose 5-phosphate,0.028429935,
s7p_c,Sedoheptulose 7-phosphate,0.08189693,
succ_m,Succinate,0.633435475,
succoa_m,Succinyl-CoA,0.13,
udp_c,UDP C9H11N2O12P2,0.31588816,
udpg_c,UDPglucose,0.6797807,
urea_c,Urea CH4N2O,31.93980265,
utp_c,UTP C9H11N2O15P3,0.88214693,
xu5p__D_c,D-Xylulose 5-phosphate,0.0427034,
