,0,1,2,Norm0,Norm1,Norm2
HEX1,0.0,0.33333333333333337,0.5,0.0,1.0,1.0
PGI,0.0,0.33333333333333337,0.5,0.0,1.0,1.0
FBP,0.0,0.6666666666666667,0.0,0.0,2.0,0.0
PFK,0.0,1.0,0.5,0.0,2.9999999999999996,1.0
FBA,0.0,0.33333333333333337,0.5,0.0,1.0,1.0
TPI,0.0,0.33333333333333337,0.5,0.0,1.0,1.0
GAPD,0.0,0.6666666666666667,1.0,0.0,2.0,2.0
PGK,0.0,-0.6666666666666667,-1.0,0.0,-2.0,-2.0
PGM,0.0,-0.6666666666666667,-1.0,0.0,-2.0,-2.0
ENO,0.0,0.6666666666666667,1.0,0.0,2.0,2.0
PYK,0.0,0.6666666666666667,1.0,0.0,2.0,2.0
LDH_L,0.5,-0.6666666666666667,-1.0,1.0,-2.0,-2.0
ATPM,0.0,0.0,1.0,0.0,0.0,2.0
NADHM,0.5,0.0,0.0,1.0,0.0,0.0
EX_glc__D_c,0.0,-0.33333333333333337,-0.5,0.0,-1.0,-1.0
EX_h_c,1.0,0.6666666666666667,1.0,2.0,2.0,2.0
EX_lac__L_c,-0.5,0.6666666666666667,1.0,-1.0,2.0,2.0
EX_pyr_c,0.5,0.0,0.0,1.0,0.0,0.0
